,BTC
Latest_Price,8197.593575814208
Predicted_Price,8177.741
Indicator_Recommendation,HOLD
Index_Comparison,Outperform
MACD_Convergence_Indicator,Uncertain
MACD_Signal_Indicator,Trend Persisting
Technical_Score,2.5
NVV_(Latest),54.19369580359764
NVV_(10-Day),31.0891515511259
Price_Change_(%)_(10-Day),10.141247408872891
NVV_(1-Month),45.20692632183688
Price_Change_(%)_(1-Month),32.59872422102737
NVV_(3-Month),62.36022712067613
Price_Change_(%)_(3-Month),-10.878183506375377
NVV_(6-Month),80.0894096256291
Price_Change_(%)_(6-Month),-26.52948091844068
NVV_(1-Year),121.01016340135173
Price_Change_(%)_(1-Year),199.1469182802263
